objectid,globalid,which_of_the_following_are_floo,please_describe_the_weather_con,please_indicate_the_approximate,please_enter_the_current_time,please_enter_todays_date,what_caused_the_flooding_,neighborhood_andor_borough_,x,y
130,44ed95fc-7d8f-4e80-8cc1-b16bc72dbe6c,"roads_streets,sidewalks",heavy_rain,2,14:49,2020-04-13T17:00:00,,,-73.8021018393151,40.8627090338812
131,53cb7a7f-3aa0-46ad-8c89-326be75ca902,roads_streets,light_rain,2,19:24,2020-04-30T17:00:00,,,-73.801717498441,40.8640309814892
132,b091d72b-b97d-4435-8558-6f79f3506bfe,roads_streets,light_rain,2,02:39,2020-04-24T17:00:00,,,-73.8016615878727,40.8640806326614
133,58803adf-e057-4d5a-80aa-59305e9e7d3c,roads_streets,light_rain,2,21:35,2020-05-23T17:00:00,,,-73.8018483766205,40.8641242380462
134,db87a80d-cc4b-4b05-8833-badf9fd3b257,roads_streets,heavy_rain,2,22:03,2020-05-03T17:00:00,,,-73.801718909122,40.8641732599609
135,fb2d746e-83ce-4f35-8acb-4804f2d86e17,roads_streets,heavy_rain,2,02:46,2020-05-02T17:00:00,,,-73.8523638854481,40.6616160719359
136,5fad162b-0922-4e33-8cb9-6f949b5b9a1d,roads_streets,heavy_rain,2,23:57,2019-12-30T17:00:00,,,-73.8017916579842,40.864189121623
137,23035b4b-be3f-4f6d-824e-14be0f43e0e6,roads_streets,heavy_rain,2,22:06,2020-09-02T17:00:00,,,-73.8016934910005,40.8641301455036
139,f1bca672-4b20-4efc-8009-bb154f2c2268,parking_lots,light_rain,1,23:44,2020-11-01T17:00:00,,,-73.795105878758,40.8700933674887
140,b3c03563-46a6-492e-83cc-74edc7a1d205,roads_streets,light_rain,1,21:30,2020-10-13T17:00:00,,,-73.8018080933904,40.8639908591165
141,c1ea2092-c7df-42ce-8e86-fd11e2866f57,roads_streets,light_rain,1,23:18,2020-03-19T17:00:00,,,-73.7872499452321,40.8488961831652
142,2a1f6522-be72-4c5e-88b7-70f9b91f83df,roads_streets,heavy_rain,1,12:29,2020-03-29T17:00:00,,,-73.786317327804,40.8457397289773
143,f2a7190b-470a-41c5-8aec-409e63b659bc,roads_streets,"sunny,light_wind",5,08:00,2020-11-15T17:00:00,,,-73.7713549070858,40.595160033831
144,68c75c8d-2c89-42fe-89bd-427b45975a21,roads_streets,light_rain,4,08:05,2021-02-27T17:00:00,,,-73.8167623837317,40.608781893357
145,29b79586-1386-46c1-86b7-82b9b1e7ef89,roads_streets,"light_wind,light_rain",1,08:12,2021-02-27T17:00:00,,,-73.8173392152853,40.608988529898
146,e8792cf2-d921-4105-89ad-add1ed4b8fdb,roads_streets,"light_wind,light_rain",6,08:13,2021-02-27T17:00:00,,,-73.8179166415939,40.6091719354578
147,f7bdb139-4f01-4d4f-8461-9ab9272eb918,"roads_streets,sidewalks,property","light_wind,light_rain",8,08:16,2021-02-27T17:00:00,,,-73.8186196185917,40.6094446711085
148,cf7b9681-d5e9-47cd-8fcd-4b6a4ccb726d,"roads_streets,sidewalks,property","light_wind,light_rain",5,20:56,2021-03-28T16:00:00,,,-73.8171320007262,40.6089700155933
149,9cf12fe0-365a-4586-8c67-00cd9368c8d2,"roads_streets,sidewalks,property","light_wind,light_rain",7,21:17,2021-03-28T16:00:00,,,-73.8168940384951,40.6089100011666
